stage,run_id,freeze_prefixes,lr,loss_weight_expl_rec,loss_weight_expl_loc,loss_weight_edge_prior,seed,val_c_index,val_rec_auc,val_loc_acc,val_expl_rec_auc,val_expl_loc_acc,top1_path,top1_path_fraction,run_root
A,A01,"pool,base_trunk",0.0001,0.5,0.5,0.05,2024,0.4854368932038835,0.5614035087719298,0.2222222222222222,0.5497076023391813,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A01
A,A02,"pool,base_trunk",0.0003,0.5,0.5,0.05,2024,0.5242718446601942,0.5146198830409356,0.4444444444444444,0.5614035087719298,0.4444444444444444,Primary -> Liver,0.823076923076923,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A02
A,A03,pool,0.0001,0.5,0.5,0.05,2024,0.5048543689320388,0.543859649122807,0.2222222222222222,0.543859649122807,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A03
A,A04,pool,0.0003,0.5,0.5,0.05,2024,0.5242718446601942,0.5087719298245614,0.3333333333333333,0.5614035087719298,0.4444444444444444,Primary -> Liver,0.7076923076923077,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A04
A,A05,,0.0001,0.5,0.5,0.05,2024,0.5048543689320388,0.5380116959064327,0.2222222222222222,0.543859649122807,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A05
A,A06,,0.0003,0.5,0.5,0.05,2024,0.529126213592233,0.5029239766081871,0.4444444444444444,0.5555555555555556,0.4444444444444444,Primary -> Liver,0.5307692307692308,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_a/A06
B,B01,"pool,base_trunk",0.0001,0.5,0.5,0.05,2024,0.4854368932038835,0.5614035087719298,0.2222222222222222,0.5497076023391813,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B01
B,B02,"pool,base_trunk",0.0001,0.5,0.25,0.05,2024,0.49029126213592233,0.5672514619883041,0.2222222222222222,0.5497076023391813,0.5555555555555556,Primary -> Bone,0.9923076923076923,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B02
B,B03,"pool,base_trunk",0.0001,0.5,0.5,0.02,2024,0.4854368932038835,0.5555555555555556,0.2222222222222222,0.5146198830409356,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B03
B,B04,"pool,base_trunk",0.0001,0.5,0.25,0.02,2024,0.49029126213592233,0.5497076023391813,0.2222222222222222,0.5087719298245614,0.5555555555555556,Primary -> Bone,1.0,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B04
B,B05,"pool,base_trunk",0.0001,0.5,0.5,0.0,2024,0.49514563106796117,0.5497076023391813,0.2222222222222222,0.5497076023391813,0.5555555555555556,Primary -> Bone,0.9846153846153847,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B05
B,B06,"pool,base_trunk",0.0001,0.5,0.25,0.0,2024,0.49514563106796117,0.5555555555555556,0.2222222222222222,0.5380116959064327,0.5555555555555556,Primary -> Bone,0.9846153846153847,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_b/B06
C,C_seed2024,"pool,base_trunk",0.0001,0.5,0.25,0.05,2024,0.49029126213592233,0.5672514619883041,0.2222222222222222,0.5497076023391813,0.5555555555555556,Primary -> Bone,0.9923076923076923,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_c/C_seed2024
C,C_seed2025,"pool,base_trunk",0.0001,0.5,0.25,0.05,2025,0.5108695652173914,0.695906432748538,0.3333333333333333,0.5029239766081871,0.5555555555555556,Primary -> Bone,0.9769230769230769,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_c/C_seed2025
C,C_seed2026,"pool,base_trunk",0.0001,0.5,0.25,0.05,2026,0.4262295081967213,0.4619883040935672,0.4444444444444444,0.2982456140350877,0.5555555555555556,Primary -> Bone,0.9923076923076923,/Users/zefanhuang/Downloads/223/output/stage13/13.2_phase4_tune/stage_c/C_seed2026
